Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,popularity,avgScore,tags,Genres,Themes,Settings,Tone/Mood,Audience,Writing Style,Features,Time Period
"(ESV) English Standard Version Large Print Bible. Premium Bonded Leather, Black, Red Letter Text (English Language)","The ESV Study Bible, Large Print edition transforms the content of the award-winning ESV Study Bible into a highly readable, large-print type retaining all articles, 20,000 study notes, 240 maps and illustrations, charts, timelines, and book introductions.",['Crossway Bibles'],http://books.google.com/books/content?id=vmvWngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=vmvWngEACAAJ&dq=(ESV)+English+Standard+Version+Large+Print+Bible.+Premium+Bonded+Leather,+Black,+Red+Letter+Text+(English+Language)&hl=&cd=1&source=gbs_api",,2014-07-31,"http://books.google.nl/books?id=vmvWngEACAAJ&dq=(ESV)+English+Standard+Version+Large+Print+Bible.+Premium+Bonded+Leather,+Black,+Red+Letter+Text+(English+Language)&hl=&source=gbs_api",['Bibles'],430,4.28139534883721,"Here are the tags that fit best:

### **Genres**

* Non-Fiction
* Biography
* Spirituality

### **Themes**

* Faith
* Spirituality
* Guidance
* Inspiration
* Devotion

### **Tone/Mood**

* Inspirational
* Uplifting
* Reflective
* Contemplative
* Spiritual

### **Audience**

* Adult
* All Ages

### **Writing Style**

* None (this is a book of scripture, not a written work)

### **Features**

* None (this is a Bible, not a work of fiction)

### **Time Period**

* Timeless (scriptures are timeless and applicable to all times)

Note: Since this is a Bible, it doesn't fit into any specific genre or theme, but it is a non-fiction work that is meant to inspire and guide readers.",,,,,,,,
Tess of Th D'Urbervilles (Pbk)(Oop) (Bloom's Notes),"Unsurpassed as a text for upper-division and beginning graduate students, Raman Selden's classic text is the liveliest, most readable and most reliable guide to contemporary literary theory. Includes applications of theory, cross-referenced to Selden's companion volume, Practicing Theory and Reading Literature.",['Raman Selden'],http://books.google.com/books/content?id=8awZAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=8awZAQAAIAAJ&q=Tess+of+Th+D%27Urbervilles+(Pbk)(Oop)+(Bloom%27s+Notes)&dq=Tess+of+Th+D%27Urbervilles+(Pbk)(Oop)+(Bloom%27s+Notes)&hl=&cd=1&source=gbs_api,,1989-01-01,http://books.google.com/books?id=8awZAQAAIAAJ&dq=Tess+of+Th+D%27Urbervilles+(Pbk)(Oop)+(Bloom%27s+Notes)&hl=&source=gbs_api,['Criticism'],323,4.176470588235294,"Here are the tags that fit best for the given book:

### Genres

- Classic
- Literary Fiction

### Themes

- Coming of Age
- Identity
- Social Class
- Morality
- Love

### Settings

- Historical (19th Century)
- English Countryside

### Tone/Mood

- Serious
- Reflective
- Melancholic

### Audience

- Adult
- Academic

### Writing Style

- Third-Person Narrative
- Descriptive
- Lyrical
- Character-Driven

### Features

- None

### Time Period

- 19th Century","Classic, Literary Fiction","Coming of Age, Identity, Social Class, Morality, Love","Historical (19th Century), English Countryside","Serious, Reflective, Melancholic","Adult, Academic","Third-Person Narrative, Descriptive, Lyrical, Character-Driven",None,19th Century
Lonesome Dove,"The timeless, bestselling four-part epic that began with the Pulitzer Prize-winning Lonesome Dove takes readers into the lives of Augustus McCrae and Woodrow Call, two tough-as-nails Texas Rangers in the heyday of the Old West. Dead Man’s Walk As young Texas Rangers, Augustus McCrae and Woodrow Call--""Gus"" and ""Call"" for short--have much to learn about survival in a land fraught with perils: not only the blazing heat and raging tornadoes, roiling rivers and merciless Indians, but also the deadly whims of soldiers. On their first expeditions--led by incompetent officers and accompanied by the robust, dauntless whore known as the Great Western--they will face death at the hands of the cunning Comanche war chief Buffalo Hump and the silent Apache Gomez. They will be astonished by the Mexican army. And Gus will meet the love of his life. Comanche Moon Texas Rangers August McCrae and Woodrow Call, now in their middle years, are still figuring out how to deal with the ever-increasing tensions of adult life--Gus with his great love, Clara Forsythe, and Call with Maggie Tilton, the young whore who loves him--when they sign up to pursue the Comanche horse thief Kicking Wolf into Mexico. On this mission their captain, Inish Scull, is captured by the brutally cruel Mexican bandit Ahumado, and Gus and Call must come to the rescue, with the aid of new friends including Joshua Deets, Jake Spoon, and Pea Eye Parker, as well as the renowned Kickapoo tracker, Famous Shoes. Lonesome Dove Gus and Call, now retired from the Texas Rangers and settled in the border town of Lonesome Dove running the Hat Creek Cattle Company, are visited by their old friend Jake Spoon, who convinces Gus and Call to gather a herd of cattle and drive them north to Montana in order to start a cattle ranch in untouched territory. Gus is further motivated by a desire to see the love of his life, Clara Allen (nee Forsythe), who now lives with her children and comatose horse-trader husband in Ogallala, Nebraska. On the way to Montana they travel through wild country full of thieves, murderers, and a lifetime's worth of unforgettable adventure. Streets of Laredo Woodrow Call is back in Texas, a Ranger once again and a general gun-for-hire, but increasingly a relic as the westward sprawl of the railroads rapidly settles the once lawless frontier. Hired by a railroad tycoon to hunt down a dangerous bandit named Joey Garza, Call sets out once again with a hapless Yankee named Ned Brookshire who works for the railroad company that hired Call. Call's old friend Pea Eye Parker--who initially refused to join the expedition because of his family--sets off with the Kickapoo tracker Famous Shoes to try to catch up with Call, until he runs into troubles of his own. The long pursuit of Garza leads them all across the last wild stretches of the West into a hellhole known as Crow Town and, finally, into the vast, relentless plains of the Texas frontier.",['Larry McMurtry'],http://books.google.com/books/content?id=rZohf4RlkCQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=rZohf4RlkCQC&printsec=frontcover&dq=Lonesome+Dove&hl=&cd=1&source=gbs_api,Simon and Schuster,2010-06-01,https://play.google.com/store/books/details?id=rZohf4RlkCQC&source=gbs_api,['Fiction'],918,4.749455337690632,"Here are the tags that fit best for the book ""Lonesome Dove"":

**Genres:** Western, Historical Fiction

**Themes:** Coming of Age, Friendship, Love, Redemption, Good vs. Evil, Betrayal, Survival, Courage, Identity, War, Family

**Settings:** Medieval, Ancient World, Post-Apocalyptic, Western United States, Texas, Mexico, Montana

**Tone/Mood:** Dark, Suspenseful, Emotional, Uplifting, Gritty, Melancholic

**Audience:** Adult

**Writing Style:** Third-Person Narrative, Descriptive, Plot-Driven",,,,,,,,
Pagan Christianity: The Origins of Our Modern Church Practices,"Have you ever wondered why we Christians do what we do for church every Sunday morning? Why do we “dress up” for church? Why does the pastor preach a sermon each week? Why do we have pews, steeples, and choirs? This ground-breaking book, now in affordable softcover, makes an unsettling proposal: most of what Christians do in present-day churches is rooted, not in the New Testament, but in pagan culture and rituals developed long after the death of the apostles. Coauthors Frank Viola and George Barna support their thesis with compelling historical evidence and extensive footnotes that document the origins of modern Christian church practices. In the process, the authors uncover the problems that emerge when the church functions more like a business organization than the living organism it was created to be. As you reconsider Christ's revolutionary plan for his church—to be the head of a fully functioning body in which all believers play an active role—you'll be challenged to decide whether you can ever do church the same way again.",['Frank Viola' ' George Barna'],http://books.google.com/books/content?id=cPTBmcHa-i0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=cPTBmcHa-i0C&printsec=frontcover&dq=Pagan+Christianity:+The+Origins+of+Our+Modern+Church+Practices&hl=&cd=1&source=gbs_api,"Tyndale House Publishers, Inc.",2010-09-30,https://play.google.com/store/books/details?id=cPTBmcHa-i0C&source=gbs_api,['Religion'],509,4.176817288801572,"Here are the chosen tags:

### **Genres**

* Non-Fiction
* Biography
* Memoir

### **Themes**

* Redemption
* Identity
* Power
* Freedom
* Good vs. Evil
* Betrayal
* Courage
* Justice

### **Tone/Mood**

* Inspirational
* Uplifting
* Reflective
* Thought-provoking

### **Audience**

* Adult

### **Writing Style**

* First-Person Narrative
* Non-Linear
* Descriptive
* Informative

### **Features**

* None

### **Time Period**

* Contemporary
* Historical",,,,,,,,
Little Black Sambo,"A little boy in India loses his fine new clothes to the tigers, but while they dispute who is the grandest tiger in the jungle he takes his fine clothes back again.",['Helen Bannerman'],http://books.google.com/books/content?id=P7kqAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=P7kqAAAAYAAJ&pg=PP1&dq=Little+Black+Sambo&hl=&cd=1&source=gbs_api,Wee Books for Wee Folk,1921-01-01,https://play.google.com/store/books/details?id=P7kqAAAAYAAJ&source=gbs_api,['Juvenile Fiction'],368,4.078804347826087,"Here are the chosen tags:

### Genres

- Children's
- Fantasy
- Adventure

### Themes

- Courage
- Friendship
- Survival

### Settings

- Jungle

### Tone/Mood

- Humorous
- Whimsical

### Audience

- Children

### Writing Style

- Narrative

### Features

- Animals
- Quest","Children's, Fantasy, Adventure","Courage, Friendship, Survival",Jungle,"Humorous, Whimsical",Children,Narrative,"Animals, Quest",
The Conspiracy Club,"The game of cat and mouse has only just begun... From the internationally bestselling author Jonathan Kellerman comes The Conspiracy Club, a superbly plotted thriller that twists and turns through a series of grisly murders. Perfect for fans of David Baldacci and Michael Connelly. 'An unnerving, highly cinematic plot... [Kellerman has] headed off into different terrain... with striking success in this... quick-witted outing' - Janet Maslin, New York Times When psychologist Dr Jeremy Carrier's romance with nurse Jocelyn Banks is cut short by her kidnapping and brutal murder, he is left emotionally devastated and being watched by police seeking a prime suspect in the unsolved killing. When more women turn up murdered in the same gruesome fashion, the only way for Jeremy to prove his innocence is to follow the trail of a cunning psychopath. Spurring on Jeremy's investigation is Dr Arthur Chess, an enigmatic pathologist who draws Jeremy into the confidence of a cryptic society. But when Arthur suddenly slips away, Jeremy is left to contend with an onslaught of anonymous clues - and the growing realisation that a harrowing game of cat and mouse has been started. What readers are saying about The Conspiracy Club: 'Excellent storytelling coupled with an intelligent writing style' 'The intrigue, twists and turns make it almost impossible to put down' 'Five stars'",['Jonathan Kellerman'],http://books.google.com/books/content?id=QjNYZ2ED9tIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=QjNYZ2ED9tIC&printsec=frontcover&dq=The+Conspiracy+Club&hl=&cd=1&source=gbs_api,Hachette UK,2009-10-01,https://play.google.com/store/books/details?id=QjNYZ2ED9tIC&source=gbs_api,['Fiction'],324,2.9074074074074074,"Here are the chosen tags:

### Genres

* Thriller
* Mystery
* Crime

### Themes

* Revenge
* Betrayal
* Redemption
* Power
* Justice
* Good vs. Evil
* Identity

### Settings

* Contemporary
* Urban

### Tone/Mood

* Suspenseful
* Emotional
* Dark
* Gripping

### Audience

* Adult

### Writing Style

* Third-Person Narrative
* Plot-Driven
* Fast-Paced

### Features

* Mystery Solving
* Detective Work
* Espionage
* Conspiracy

### Time Period

* Contemporary","Thriller, Mystery, Crime","Revenge, Betrayal, Redemption, Power, Justice, Good vs. Evil, Identity","Contemporary, Urban","Suspenseful, Emotional, Dark, Gripping",Adult,"Third-Person Narrative, Plot-Driven, Fast-Paced","Mystery Solving, Detective Work, Espionage, Conspiracy",Contemporary
Magic Kingdom for Sale - Sold! (Landover Series),"Here in his first non-Shannara novel, Terry Brooks has written a gripping story of mystery, magic, and adventure—sure to delight fantasy readers everywhere. Landover was a genuine magic kingdom, with fairy folk and wizardry, just as the advertisement has promised. But after he purchased it, Ben Holiday learned that there were a few details the ad had failed to mention. The kingdom was in ruin. The Barons refused to recognize a king, and the peasants were without hope. A dragon was laying waste the countryside, while an evil witch plotted to destroy everything. Ben's only followers were the incompetent Court Magician; Abernathy, the talking dog who served as Court Scribe; and the lovely Willow—but she had a habit of putting down roots in the moonlight and turning into a tree. The Paladin, legendary champion of the Kings of Landover, seemed to be only a myth and an empty suit of armor. To put the final touch on the whole affair, Ben soon learned that the Iron Mark, terrible lord of the demons, had challenged all prospective Kings of Landover to duel to the death—a duel which no human could hope to win. The task of proving his right to be King seemed hopeless. But Ben Holiday was stubborn. . . .",['Terry Brooks'],http://books.google.com/books/content?id=UD9bqLruYaUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=UD9bqLruYaUC&printsec=frontcover&dq=Magic+Kingdom+for+Sale+-+Sold!+(Landover+Series)&hl=&cd=1&source=gbs_api,Del Rey,2008-12-18,https://play.google.com/store/books/details?id=UD9bqLruYaUC&source=gbs_api,['Fiction'],270,4.177777777777778,"Here are the chosen tags:

### Genres

- Fantasy
- Adventure

### Themes

- Magic
- Good vs. Evil
- Quest
- Courage
- Power
- Identity
- Redemption

### Settings

- High Fantasy World
- Mythical Lands

### Tone/Mood

- Suspenseful
- Emotional
- Uplifting

### Audience

- Adult
- Young Adult

### Writing Style

- Third-Person Narrative
- Descriptive
- Dialogue-Driven","Fantasy, Adventure","Magic, Good vs. Evil, Quest, Courage, Power, Identity, Redemption","High Fantasy World, Mythical Lands","Suspenseful, Emotional, Uplifting","Adult, Young Adult","Third-Person Narrative, Descriptive, Dialogue-Driven",,
Dune,"Immerse yourself in the world of Denis Villeneuve’s Dune and discover the incredible creative journey that brought Frank Herbert’s iconic novel to the big screen. Frank Herbert’s science fiction classic Dune has been brought to life like never before in the breathtaking film adaptation from acclaimed director Denis Villeneuve (Blade Runner 2049, Arrival). Now fans can be part of this creative journey with The Art and Soul of Dune, the official companion to the hugely anticipated movie event. Written by Dune executive producer Tanya Lapointe, this visually dazzling exploration of the filmmaking process gives unparalleled insight into the project’s genesis—from its striking environmental and creature designs to its intricate costume concepts and landmark digital effects. The Art and Soul of Dune also features exclusive interviews with key members of the cast and crew, including Denis Villeneuve, Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, and many more, delivering a uniquely candid account of the hugely ambitious international shoot. Showcasing Villeneuve’s visionary approach to realizing Herbert’s science fiction classic, The Art and Soul of Dune is an essential companion to the director’s latest masterpiece.",['Tanya Lapointe'],http://books.google.com/books/content?id=aQ9UEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=aQ9UEAAAQBAJ&printsec=frontcover&dq=Dune&hl=&cd=1&source=gbs_api,Simon and Schuster,2021-10-22,http://books.google.nl/books?id=aQ9UEAAAQBAJ&dq=Dune&hl=&source=gbs_api,['Art'],1127,4.3646850044365575,"Here are the tags that fit best for the book ""Dune"":

### Genres

* Science Fiction
* Fantasy

### Themes

* Good vs. Evil
* Power
* Identity
* Survival
* Redemption

### Settings

* Futuristic
* Space
* High Fantasy World

### Tone/Mood

* Suspenseful
* Inspirational
* Uplifting

### Audience

* Adult

### Writing Style

* Third-Person Narrative
* Descriptive

### Features

* Magic
* Superpowers
* Aliens
* Time Travel
* Quest

### Time Period

* Futuristic
* Distant Future","Science Fiction, Fantasy","Good vs. Evil, Power, Identity, Survival, Redemption","Futuristic, Space, High Fantasy World","Suspenseful, Inspirational, Uplifting",Adult,"Third-Person Narrative, Descriptive","Magic, Superpowers, Aliens, Time Travel, Quest","Futuristic, Distant Future"
The Street Lawyer,"From the author of THE PARTNER, a thriller, in which the rising star of Drake and Sweeney finds that it is better not to have a conscience if he is to obtain a partnership. But a violent encounter changes his whole outlook on life and he begins to dig into the secrets of Drake and Sweeney. An act which could cost him his life.",['John Grisham' ' Michael Dean'],http://books.google.com/books/content?id=3cfucLhk8iEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=3cfucLhk8iEC&printsec=frontcover&dq=The+Street+Lawyer&hl=&cd=1&source=gbs_api,Ginka Opalchenova,2001-01-01,http://books.google.com/books?id=3cfucLhk8iEC&dq=The+Street+Lawyer&hl=&source=gbs_api,['Fiction'],476,3.3592436974789917,"Here are the chosen tags for the book ""The Street Lawyer"":

### Genres

- Thriller
- Mystery
- Crime

### Themes

- Revenge
- Betrayal
- Redemption
- Courage
- Power

### Settings

- Contemporary
- Urban

### Tone/Mood

- Suspenseful
- Emotional
- Tense

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Plot-Driven","Thriller, Mystery, Crime","Revenge, Betrayal, Redemption, Courage, Power","Contemporary, Urban","Suspenseful, Emotional, Tense",Adult,"Third-Person Narrative, Plot-Driven",,
The Bourne Identity,"#1 NEW YORK TIMES BESTSELLER His memory is a blank. His bullet-ridden body was fished from the Mediterranean Sea. His face has been altered by plastic surgery. A frame of microfilm has been surgically implanted in his hip. Even his name is a mystery. Marked for death, he is racing for survival through a bizarre world of murderous conspirators—led by Carlos, the world’s most dangerous assassin. Who is Jason Bourne? The answer may kill him. BONUS: This edition includes an excerpt from Robert Ludlum's The Bourne Supremacy.",['Robert Ludlum'],http://books.google.com/books/content?id=BebwoOZCPr0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=BebwoOZCPr0C&printsec=frontcover&dq=The+Bourne+Identity&hl=&cd=1&source=gbs_api,Bantam,2012-08-14,https://play.google.com/store/books/details?id=BebwoOZCPr0C&source=gbs_api,['Fiction'],321,4.158878504672897,"Here are the tags that fit best for the book ""The Bourne Identity"":

### Genres

- Thriller
- Mystery
- Suspense

### Themes

- Identity
- Survival
- Good vs. Evil
- Betrayal
- Redemption

### Settings

- Contemporary
- Futuristic

### Tone/Mood

- Suspenseful
- Tense
- Dark

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Fast-Paced
- Plot-Driven","Thriller, Mystery, Suspense","Identity, Survival, Good vs. Evil, Betrayal, Redemption","Contemporary, Futuristic","Suspenseful, Tense, Dark",Adult,"Third-Person Narrative, Fast-Paced, Plot-Driven",,
A Prayer for Owen Meany (Franklin Library Signed First Edition),"'A work of genius' Independent 'Marvellously funny . . . What better entertainment is there than a serious book which makes you laugh?' Spectator 'If you care about something you have to protect it. If you're lucky enough to find a way of life you love, you have to find the courage to live it.' Summer, 1953. In the small town of Gravesend, New Hampshire, eleven-year-old John Wheelwright and his best friend Owen Meany are playing in a Little League baseball game. When Owen hits a foul ball which kills John's mother, their lives are changed in an instant. It is dismissed as a tragic accident but Owen disagrees. He believes that he is God's instrument, put on Earth for a higher purpose. And as the boys come into adulthood to the background of the Vietnam War, a series of remarkable events show that perhaps Owen's divine plan was not imagined after all. Discover the funny yet poignant classic by the bestselling author of The World According to Garp. 'So extraordinary, so original, and so enriching' Stephen King, The Washington Post 'May justly join the classic American list' Anthony Burgess, Observer",['John Irving'],http://books.google.com/books/content?id=cW8Z_UfqnH4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=cW8Z_UfqnH4C&pg=PA4&dq=A+Prayer+for+Owen+Meany+(Franklin+Library+Signed+First+Edition)&hl=&cd=1&source=gbs_api,Random House,2012-05-10,https://play.google.com/store/books/details?id=cW8Z_UfqnH4C&source=gbs_api,['Fiction'],805,4.479503105590062,"Here are the tags that fit best:

### Genres

* Fiction
* Coming-of-age
* Drama

### Themes

* Coming of age
* Friendship
* Loss
* Redemption
* Courage
* Identity
* Good vs. Evil
* Betrayal

### Settings

* Contemporary
* Historical Era (1950s)

### Tone/Mood

* Emotional
* Humorous
* Suspenseful
* Uplifting
* Reflective
* Heartwarming

### Audience

* Adult

### Writing Style

* Third-person Narrative
* Descriptive
* Dialogue-Driven

### Features

* None

### Time Period

* 1950s","Fiction, Coming-of-age, Drama","Coming of age, Friendship, Loss, Redemption, Courage, Identity, Good vs. Evil, Betrayal","Contemporary, Historical Era (1950s)","Emotional, Humorous, Suspenseful, Uplifting, Reflective, Heartwarming",Adult,"Third-person Narrative, Descriptive, Dialogue-Driven",None,1950s
The Reader,"Hailed for its coiled eroticism and the moral claims it makes upon the reader, this mesmerizing novel is a story of love and secrets, horror and compassion, unfolding against the haunted landscape of postwar Germany. When he falls ill on his way home from school, fifteen-year-old Michael Berg is rescued by Hanna, a woman twice his age. In time she becomes his lover—then she inexplicably disappears. When Michael next sees her, he is a young law student, and she is on trial for a hideous crime. As he watches her refuse to defend her innocence, Michael gradually realizes that Hanna may be guarding a secret she considers more shameful than murder.",['Bernhard Schlink'],http://books.google.com/books/content?id=2JYJicwT84cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=2JYJicwT84cC&printsec=frontcover&dq=The+Reader&hl=&cd=1&source=gbs_api,Vintage,2001-05-01,https://play.google.com/store/books/details?id=2JYJicwT84cC&source=gbs_api,['Fiction'],596,3.8120805369127515,"Here are the chosen tags for the book ""The Reader"":

### Genres

* Fiction
* Historical Fiction
* Thriller
* Mystery

### Themes

* Love
* Betrayal
* Redemption
* Morality
* Identity
* Power
* Loss

### Settings

* Post-War Germany

### Tone/Mood

* Dark
* Suspenseful
* Emotional
* Mysterious

### Audience

* Adult

### Writing Style

* Third-Person Narrative
* Stream of Consciousness
* Descriptive
* Plot-Driven

### Features

* Mystery Solving
* Redemption
* Power struggle
* Secrets

### Time Period

* Post-War","Fiction, Historical Fiction, Thriller, Mystery","Love, Betrayal, Redemption, Morality, Identity, Power, Loss",Post-War Germany,"Dark, Suspenseful, Emotional, Mysterious",Adult,"Third-Person Narrative, Stream of Consciousness, Descriptive, Plot-Driven","Mystery Solving, Redemption, Power struggle, Secrets",Post-War
"The Screwtape letters,","In this humorous and perceptive exchange between two devils, C. S. Lewis delves into moral questions about good vs. evil, temptation, repentance, and grace. Through this wonderful tale, the reader emerges with a better understanding of what it means to live a faithful life.",['C. S. Lewis'],http://books.google.com/books/content?id=w48kmK8CrvEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=w48kmK8CrvEC&printsec=frontcover&dq=The+Screwtape+letters,&hl=&cd=1&source=gbs_api",Zondervan,2001-02-06,"http://books.google.com/books?id=w48kmK8CrvEC&dq=The+Screwtape+letters,&hl=&source=gbs_api",['Religion'],405,4.666666666666667,"Here are the chosen tags for the book ""The Screwtape Letters"" by C.S. Lewis:

### Genres

- Fantasy
- Humor
- Literary Fiction

### Themes

- Good vs. Evil
- Redemption
- Temptation
- Repentance
- Grace
- Moral Dilemma
- Faith

### Tone/Mood

- Humorous
- Inspirational
- Reflective
- Uplifting

### Audience

- Adult","Fantasy, Humor, Literary Fiction","Good vs. Evil, Redemption, Temptation, Repentance, Grace, Moral Dilemma, Faith",,"Humorous, Inspirational, Reflective, Uplifting",Adult,,,
Love In The Time Of Cholera,"Florentino Ariza has never forgotten his first love. He has waited nearly a lifetime in silence, since his beloved Fermina married another man. No woman can replace her in his heart. But now her husband is dead. Finally - after fifty-one years, nine months and four days - Florentino has another chance to declare his eternal passion and win her back. Will love that has survived half a century remain unrequited?",['Gabriel García Márquez' ' Edith Grossman'],,http://books.google.com/books?id=GIhnPwAACAAJ&dq=Love+In+The+Time+Of+Cholera&hl=&cd=1&source=gbs_api,,1989-01-01,http://books.google.com/books?id=GIhnPwAACAAJ&dq=Love+In+The+Time+Of+Cholera&hl=&source=gbs_api,['Colombia'],498,3.8313253012048194,"Here are the chosen tags:

### Genres

- Literary Fiction
- Romance
- Historical Fiction

### Themes

- Love
- Time
- Memory
- Longing
- Passion
- Mortality
- Redemption

### Settings

- Historical Era (19th-20th century)
- Latin America (Colombia)

### Tone/Mood

- Melancholic
- Reflective
- Sentimental
- Romantic

### Audience

- Adult

### Writing Style

- Lyrical
- Descriptive
- Stream of Consciousness

### Features

- None

### Time Period

- 19th-20th century","Literary Fiction, Romance, Historical Fiction","Love, Time, Memory, Longing, Passion, Mortality, Redemption","Historical Era (19th-20th century), Latin America (Colombia)","Melancholic, Reflective, Sentimental, Romantic",Adult,"Lyrical, Descriptive, Stream of Consciousness",None,19th-20th century
Shane,"This bibulous, drug-indulgent and anarchic rock legend was born on a small farm in Tipperary, won a scholarship to Westminster, was rapidly expelled, became a rent boy, then a central figure of punk and the hugely influential star of The Pogues. MacGowan's music, innovative and powerful, is as distinctive as his chaotic, breakdown-scarred, drug and alcohol-fuelled lifestyle. MacGowan has an enormous fan-base hungry for stories of his wild behaviour, but this is also a book that celebrates this unique and charming musician, and offers insight into his remarkable perspective on this world - and the next!",['Victoria Mary Clarke' ' Shane MacGowan'],http://books.google.com/books/content?id=Io2NSinm-ToC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=Io2NSinm-ToC&printsec=frontcover&dq=Shane&hl=&cd=1&source=gbs_api,Pan Macmillan,2012-05-31,https://play.google.com/store/books/details?id=Io2NSinm-ToC&source=gbs_api,['Biography & Autobiography'],343,4.521865889212828,"Here are the chosen tags:

### Genres

- Biography
- Non-Fiction
- Memoir

### Themes

- Redemption
- Identity
- Power
- Loss
- Music

### Settings

- Contemporary
- Historical Era (specifically, the punk rock scene)

### Tone/Mood

- Inspirational
- Emotional
- Uplifting
- Gritty
- Melancholic

### Audience

- Adult

### Writing Style

- First-Person Narrative
- Lyrical
- Descriptive
- Dialogue-Driven

### Features

- Music

### Time Period

- Contemporary","Biography, Non-Fiction, Memoir","Redemption, Identity, Power, Loss, Music","Contemporary, Historical Era (specifically, the punk rock scene)","Inspirational, Emotional, Uplifting, Gritty, Melancholic",Adult,"First-Person Narrative, Lyrical, Descriptive, Dialogue-Driven",Music,Contemporary
Player's Handbook: Core Rulebook I (Dungeons & Dragons),"Discusses how to create and play characters of various races, classes, and abilities, covering topics including skills, feats, equipment, adventuring, and magic.",['Wizards RPG Team' ' Wizards of the Coast' ' Inc'],http://books.google.com/books/content?id=JMNbLwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=JMNbLwEACAAJ&dq=Player%27s+Handbook:+Core+Rulebook+I+(Dungeons&hl=&cd=1&source=gbs_api,,2012-01-01,http://books.google.nl/books?id=JMNbLwEACAAJ&dq=Player%27s+Handbook:+Core+Rulebook+I+(Dungeons&hl=&source=gbs_api,['Games'],320,4.3375,"Here are the tags that fit best for the given book:

### Genres

- Fantasy

### Themes

- Identity
- Adventure
- Power

### Settings

- High Fantasy World

### Tone/Mood

- Suspenseful
- Inspirational

### Audience

- Adult

### Writing Style

- Descriptive
- Rulebook

### Features

- Magic
- Quest

### Time Period

- Timeless",Fantasy,"Identity, Adventure, Power",High Fantasy World,"Suspenseful, Inspirational",Adult,"Descriptive, Rulebook","Magic, Quest",Timeless
George Orwell 1984,"""Nineteen Eighty-Four: A Novel"", often published as ""1984"", is a dystopian social science fiction novel by English novelist George Orwell. It was published on 8 June 1949 by Secker & Warburg as Orwell's ninth and final book completed in his lifetime. Thematically, ""Nineteen Eighty-Four"" centres on the consequences of totalitarianism, mass surveillance, and repressive regimentation of persons and behaviours within society. Orwell, himself a democratic socialist, modelled the authoritarian government in the novel after Stalinist Russia. More broadly, the novel examines the role of truth and facts within politics and the ways in which they are manipulated. The story takes place in an imagined future, the year 1984, when much of the world has fallen victim to perpetual war, omnipresent government surveillance, historical negationism, and propaganda. Great Britain, known as Airstrip One, has become a province of a totalitarian superstate named Oceania that is ruled by the Party who employ the Thought Police to persecute individuality and independent thinking. Big Brother, the leader of the Party, enjoys an intense cult of personality despite the fact that he may not even exist. The protagonist, Winston Smith, is a diligent and skillful rank-and-file worker and Outer Party member who secretly hates the Party and dreams of rebellion. He enters into a forbidden relationship with a colleague, Julia, and starts to remember what life was like before the Party came to power.",['George Orwell'],http://books.google.com/books/content?id=PEpoEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=PEpoEAAAQBAJ&printsec=frontcover&dq=George+Orwell+1984&hl=&cd=1&source=gbs_api,epubli,2021-01-09,https://play.google.com/store/books/details?id=PEpoEAAAQBAJ&source=gbs_api,['Fiction'],1464,4.577868852459017,"Here are the tags that fit best:

**Genres**: Dystopian, Science Fiction

**Themes**: Good vs. Evil, Power, Control, Surveillance, Rebellion, Totalitarianism, Identity, Memory, Propaganda, Free Will

**Settings**: Futuristic, Dystopian Society

**Tone/Mood**: Dark, Suspenseful, Ominous, Melancholic

**Audience**: Adult

**Writing Style**: Third-Person Narrative, Stream of Consciousness

**Features**: Government Control, Surveillance, Propaganda, Rebellion, Totalitarianism

**Time Period**: Future (1984)",,,,,,,,
